Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
2/1/1963,-2.973333333,-5.293333333,-3.603333333,-6.893333333,-2.183333333,-3.493333333,-3.423333333,-2.823333333,-4.093333333,0.406666667,-0.953333333,-2.373333333,-2.843333333,-6.603333333,-3.173333333,-1.203333333,-2.003333333,-0.683333333,-1.573333333,-1.713333333,-1.333333333,-0.183333333,-4.353333333,-2.413333333,0.046666667,-2.113333333,-0.763333333,-3.983333333,-0.593333333,0.056666667
3/1/1963,1.489166667,4.369166667,7.499166667,0.879166667,-1.110833333,3.759166667,1.179166667,0.939166667,3.409166667,0.589166667,3.199166667,1.999166667,2.659166667,1.149166667,6.579166667,-0.010833333,2.489166667,5.959166667,6.749166667,1.549166667,1.699166667,3.659166667,3.459166667,2.769166667,3.069166667,0.359166667,1.929166667,-5.960833333,2.059166667,5.049166667
4/1/1963,0.858333333,0.418333333,6.058333333,-1.041666667,7.708333333,5.778333333,1.358333333,7.378333333,4.198333333,7.448333333,3.768333333,5.208333333,3.138333333,5.638333333,5.738333333,3.128333333,4.648333333,4.098333333,5.838333333,2.158333333,3.488333333,2.188333333,6.538333333,4.618333333,8.278333333,5.398333333,5.268333333,0.238333333,3.408333333,5.868333333
5/1/1963,3.245833333,0.955833333,-3.244166667,4.185833333,0.305833333,0.665833333,0.245833333,-0.494166667,1.035833333,2.195833333,0.935833333,6.315833333,5.835833333,4.435833333,6.905833333,-1.144166667,2.045833333,3.655833333,-0.434166667,0.785833333,-0.884166667,3.285833333,3.605833333,-1.374166667,6.315833333,0.845833333,2.435833333,2.875833333,0.175833333,-0.274166667
6/1/1963,-0.709166667,-2.069166667,-6.519166667,-1.549166667,0.760833333,-0.519166667,-2.169166667,-1.339166667,-3.469166667,-1.199166667,-1.629166667,-4.009166667,-1.729166667,-2.879166667,-3.449166667,-1.249166667,-2.599166667,-2.009166667,1.020833333,-1.369166667,-2.189166667,-1.519166667,-6.759166667,-2.189166667,-1.179166667,-3.209166667,-1.489166667,-0.799166667,-1.239166667,-2.379166667
7/1/1963,-0.215,-2.455,-2.805,-3.745,-0.305,-0.415,-0.685,0.295,-1.265,3.225,-1.045,-1.855,-3.345,-2.695,-0.415,-3.935,-3.165,0.055,2.075,0.545,-0.495,-3.745,-0.815,-1.645,-2.805,-0.225,-1.325,-4.475,-0.875,-2.895
8/1/1963,4.543333333,1.863333333,6.873333333,5.803333333,4.383333333,5.943333333,4.313333333,9.283333333,4.333333333,4.023333333,5.763333333,8.033333333,4.343333333,4.893333333,6.923333333,2.993333333,3.743333333,7.203333333,3.573333333,3.943333333,4.013333333,2.403333333,4.953333333,7.423333333,7.093333333,3.943333333,6.343333333,0.793333333,4.003333333,5.353333333
9/1/1963,-1.711666667,0.948333333,-4.511666667,-4.331666667,2.388333333,-1.651666667,-4.251666667,-4.341666667,-1.061666667,-1.421666667,-1.531666667,0.008333333,-2.831666667,-1.961666667,0.028333333,-4.881666667,-1.241666667,-4.761666667,-3.901666667,-2.771666667,2.078333333,-2.931666667,0.008333333,1.168333333,-4.131666667,-1.931666667,0.868333333,-2.791666667,-3.531666667,-3.511666667
10/1/1963,2.1225,-1.5675,5.4925,10.0525,-1.4375,3.9625,2.4125,3.0925,3.1925,5.4325,-0.8075,1.2925,3.9025,-0.7775,9.8525,1.9925,2.8725,9.1625,-0.8075,-0.9575,3.1125,1.2225,8.3725,1.3625,1.4825,1.1225,0.1225,0.8225,0.3925,2.5925
11/1/1963,-0.733333333,-1.013333333,-5.923333333,-2.253333333,-0.473333333,-0.473333333,-1.733333333,-1.943333333,1.926666667,1.696666667,-1.343333333,-2.123333333,-1.083333333,-2.013333333,-5.713333333,5.246666667,1.266666667,0.376666667,-1.483333333,-1.313333333,3.866666667,-4.073333333,-0.563333333,-1.223333333,3.486666667,-4.323333333,-1.363333333,-3.903333333,-2.583333333,1.146666667
12/1/1963,2.696666667,0.916666667,5.686666667,-2.423333333,-0.503333333,3.966666667,-0.793333333,1.246666667,4.216666667,3.006666667,0.516666667,1.216666667,1.566666667,-2.843333333,-1.493333333,-4.513333333,5.756666667,5.126666667,4.356666667,2.126666667,-0.433333333,0.636666667,2.966666667,0.016666667,3.876666667,-0.953333333,0.056666667,1.456666667,1.316666667,-2.833333333
1/1/1964,0.846666667,0.696666667,-1.983333333,-1.243333333,4.096666667,1.446666667,-1.143333333,3.386666667,2.966666667,1.966666667,1.726666667,4.136666667,3.426666667,-3.423333333,0.786666667,3.106666667,-0.323333333,4.146666667,4.556666667,1.106666667,3.056666667,1.756666667,2.756666667,1.546666667,3.566666667,-2.533333333,2.556666667,-0.763333333,-1.433333333,-2.523333333
2/1/1964,1.135833333,-0.464166667,2.345833333,1.955833333,6.495833333,0.645833333,1.195833333,1.365833333,1.945833333,3.435833333,4.515833333,2.595833333,3.215833333,4.715833333,3.385833333,4.795833333,5.405833333,-0.174166667,0.775833333,0.555833333,-0.574166667,2.435833333,1.675833333,-0.614166667,6.705833333,1.645833333,1.255833333,6.785833333,3.465833333,1.135833333
3/1/1964,1.665,6.635,10.075,2.425,-1.245,2.025,0.685,-2.235,2.345,0.155,4.545,6.675,6.275,3.305,0.325,1.445,4.985,-2.105,1.155,-1.035,-1.235,2.245,3.155,0.935,2.555,4.305,2.055,3.745,0.405,-0.745
4/1/1964,-1.359166667,-1.899166667,1.540833333,-4.449166667,1.830833333,-1.849166667,-0.469166667,-1.709166667,-1.469166667,-0.759166667,-0.789166667,-3.859166667,-0.429166667,-5.089166667,2.660833333,-4.729166667,13.11083333,-4.529166667,3.930833333,0.750833333,0.520833333,-0.409166667,-3.979166667,-1.449166667,-1.569166667,-0.309166667,2.740833333,1.570833333,-1.259166667,-3.239166667
5/1/1964,1.39,1.18,-0.48,-4.15,1.18,1.92,1.56,0.24,2.05,5.41,-0.03,0.92,2.35,-1.4,1.5,4.17,0.72,0.35,1.89,0.54,-0.69,-3.6,2.55,-1.23,5.65,-0.25,3.87,-0.53,-0.29,-0.01
6/1/1964,2.04,0.2,-1.83,-1.36,3.53,-0.11,3.96,0.3,-0.86,-0.68,0,0.61,3.72,-0.45,1.23,2.82,-1.35,-2.63,0.42,1.9,4.47,5.66,0.15,0.68,3.55,3.16,3.59,2.2,-1.47,-1.2
7/1/1964,0.941666667,7.611666667,0.121666667,-0.008333333,-0.538333333,0.431666667,3.211666667,4.471666667,1.871666667,5.521666667,1.101666667,0.331666667,1.551666667,7.391666667,5.141666667,5.641666667,2.301666667,1.121666667,3.081666667,4.631666667,-2.278333333,2.871666667,-2.198333333,0.531666667,-0.058333333,2.381666667,0.871666667,0.651666667,1.601666667,2.501666667
8/1/1964,-1.591666667,-2.161666667,6.308333333,-3.631666667,-1.681666667,-1.761666667,-1.191666667,-4.511666667,-2.551666667,-2.071666667,-1.931666667,-0.361666667,-1.141666667,2.458333333,1.488333333,2.858333333,-0.031666667,-0.791666667,-2.171666667,-0.311666667,-1.821666667,3.228333333,-3.181666667,-2.171666667,-6.071666667,-4.951666667,0.298333333,-3.861666667,-2.431666667,0.768333333
9/1/1964,1.675833333,1.355833333,-2.264166667,5.295833333,1.955833333,5.425833333,3.445833333,2.435833333,5.055833333,4.035833333,-0.244166667,5.205833333,3.075833333,3.775833333,4.895833333,5.325833333,10.39583333,5.025833333,2.755833333,1.555833333,-1.314166667,0.545833333,0.885833333,3.755833333,4.485833333,2.355833333,3.175833333,3.515833333,2.205833333,4.875833333
10/1/1964,-1.4675,2.1025,-2.3575,0.5825,2.1925,-1.4475,0.6525,2.5825,0.6325,7.0125,1.8725,-2.9175,1.7325,5.7425,-0.1075,0.3325,-0.1575,-0.2575,2.8125,0.6425,-1.1875,1.3225,-1.3275,1.8725,3.9425,0.9725,1.9925,5.4825,-0.9375,-0.1575
11/1/1964,0.916666667,-1.713333333,-1.933333333,-2.243333333,1.476666667,0.646666667,2.586666667,1.866666667,2.046666667,0.076666667,-1.013333333,-5.123333333,1.216666667,0.406666667,-3.003333333,0.236666667,-0.013333333,0.666666667,2.286666667,1.056666667,-2.533333333,-2.483333333,-0.493333333,-2.963333333,-3.843333333,1.756666667,3.026666667,0.806666667,-1.193333333,0.966666667
12/1/1964,0.86,-0.5,-5,-1.7,0.6,0.36,-0.5,4.06,0.14,0.31,-1.36,-2.03,-3.31,-3.04,1.62,-0.26,-1.47,1.44,-0.59,0.16,2.78,-0.74,-0.33,-2.69,-2.79,0.61,-0.19,-0.66,-1.52,-3.35
1/1/1965,4.7225,11.8325,5.0525,8.1225,8.3625,6.2025,6.9325,7.3425,5.3625,8.1225,5.1325,4.5925,4.1025,9.5225,2.6025,2.4525,7.9325,3.4125,0.1325,3.6225,-0.0475,7.6725,7.1125,6.2925,4.4225,5.5225,2.4225,9.1525,2.4025,5.6825
2/1/1965,0.9925,1.5725,-0.3675,4.7425,1.0225,2.4525,5.8925,2.0925,0.5825,1.9525,2.9325,2.6525,5.7725,4.8525,-1.5875,3.2025,4.4425,-0.8375,-3.7575,0.1325,0.4625,2.8525,1.8325,-0.8975,2.2825,2.4925,1.0325,2.6925,0.9225,4.0525
3/1/1965,-1.7875,0.2625,-1.1975,3.4225,2.5425,-2.2275,0.3725,-1.2475,-3.3375,0.5125,-0.0675,-0.2975,-2.6475,-1.0775,1.5825,0.5425,-0.9775,-0.4275,-3.4275,-0.8375,-2.0075,2.9225,-0.7975,0.7225,-0.8275,0.4825,-1.3075,-0.0275,-0.6575,3.8725
4/1/1965,2.5425,5.1925,5.2825,3.5425,5.2125,5.4525,4.4725,2.6525,1.6125,8.6525,2.4125,4.8825,4.4925,4.8225,7.0125,7.4125,3.7425,-2.3975,0.5725,0.2925,1.9725,3.9525,4.8925,2.7925,0.5325,5.4125,6.7025,2.8125,2.2325,3.0825
5/1/1965,-1.254166667,-0.634166667,-1.974166667,1.685833333,0.225833333,-0.834166667,0.375833333,-1.564166667,0.205833333,-1.544166667,-1.084166667,-1.064166667,-2.984166667,0.465833333,-4.574166667,-0.114166667,-2.444166667,-2.804166667,0.615833333,-1.264166667,2.465833333,-3.244166667,0.255833333,-1.994166667,-1.124166667,-1.164166667,0.035833333,-3.384166667,-2.674166667,-2.784166667
6/1/1965,-4.646666667,-4.876666667,-3.726666667,-10.00666667,-6.706666667,-5.676666667,-9.456666667,-5.626666667,-6.066666667,-8.256666667,-7.386666667,-7.176666667,-6.566666667,-8.276666667,-7.496666667,-7.466666667,-10.29666667,-6.306666667,-2.206666667,-3.976666667,-4.456666667,-9.466666667,-5.946666667,-6.196666667,-7.176666667,-9.656666667,-6.376666667,-7.036666667,-5.226666667,-11.32666667
7/1/1965,0.9,-0.68,1.42,5.38,3.24,4.14,1.86,3.63,-0.26,2.65,0.25,2.79,1.25,4.36,1.32,9.32,7.43,1.6,1.49,0.74,-0.7,3.87,3.15,-0.92,4.32,5.24,-2.18,1.01,0.81,6.51
8/1/1965,1.45,3.45,9.13,6.42,6.88,6.21,6.05,5.97,1.21,5.74,2.28,2.42,3.95,6.23,2.21,2.66,3.05,2.95,1.2,0.6,1.01,3.31,5.73,3.05,6.16,4.76,1.78,4.88,4.22,4.71
9/1/1965,-0.116666667,-0.646666667,-2.976666667,11.27333333,2.093333333,5.563333333,1.503333333,1.913333333,3.613333333,4.633333333,2.073333333,1.753333333,5.943333333,4.883333333,4.533333333,10.30333333,0.253333333,-0.006666667,4.123333333,1.043333333,0.763333333,3.833333333,5.143333333,3.423333333,2.813333333,7.153333333,-1.476666667,4.043333333,-0.426666667,4.393333333
10/1/1965,0.654166667,2.204166667,4.084166667,11.29416667,5.674166667,4.004166667,4.084166667,2.894166667,2.534166667,4.954166667,4.114166667,4.934166667,5.074166667,5.444166667,6.264166667,7.404166667,4.104166667,15.21416667,1.244166667,0.724166667,-2.625833333,4.154166667,4.924166667,2.944166667,6.344166667,3.144166667,-0.285833333,4.834166667,0.814166667,1.654166667
